,CFNAI,CPI,M2,ISM,bfly,divy,Spread
2009-04-01,-2.6848970000000003,-0.005763244243767063,0.0851944613867297,0.46226415094339623,-2.0020000000000002,2.696953285,0.2157157297019099
2009-05-01,-2.077142,-0.010157614958551608,0.09248817162486223,0.49390243902439046,-2.4388,2.2390134660000003,0.24894776255191098
2009-06-01,-1.6674950000000002,-0.012291746182109153,0.09232025085193785,0.2828784119106702,-2.5676000000000005,1.926763066,0.178423259668389
2009-07-01,-0.095326,-0.01958761003762277,0.08685307130363218,0.2387096774193549,-2.4791999999999996,1.496233122,-0.0576491840629364
2009-08-01,-0.316344,-0.014838355663267633,0.08223299348153112,0.3591836734693876,-2.5163,1.224519307,-0.07648585370375649
2009-09-01,-0.49692,-0.01377942862886472,0.06369346416769672,0.22437137330754342,-2.4692000000000007,1.050839748,-0.13735489777029608
2009-10-01,-0.675262,-0.0022396829420032738,0.06366307541625837,0.03993055555555558,-2.5262,1.246099734,0.013029587570617673
2009-11-01,-0.057959000000000004,0.019145871744709275,0.05921019807414063,-0.09009009009008995,-2.2746,1.1269987020000003,0.04586135842455241
2009-12-01,-0.706743,0.028141231232083674,0.03431247027837725,-0.004739336492890933,-3.0336000000000003,0.9468030680000001,0.1182629609282071
2010-01-01,0.212195,0.026211113889767157,0.020631624695173434,0.05008347245409017,-2.7556000000000003,0.812012051,0.10552355943858882
2010-02-01,-0.6281329999999999,0.021513363578665068,0.026100591002291562,-0.05775577557755773,-2.6619999999999995,0.6900755390000002,-0.017103728106255822
2010-03-01,0.564483,0.022861714393279664,0.014082320059243703,-0.025396825396825418,-2.9659999999999997,0.5081407440000001,-0.09279299626092896
2010-04-01,0.599929,0.022067707525304403,0.020867215153544505,-0.007949125596184436,-2.7935999999999996,0.379444678,-0.10070922644432312
2010-05-01,0.454045,0.020035489292185682,0.01716896060749895,0.1050788091068302,-2.383,0.500577512,-0.08503035083762422
2010-06-01,-0.292898,0.011215605940686268,0.020865459894189975,-0.0228013029315961,-1.9837999999999993,0.538263901,-0.03591157418161739
2010-07-01,0.174253,0.013407784804821077,0.020495828649192527,-0.08653846153846156,-1.9293999999999998,0.44869853099999996,-0.05768063160373216
2010-08-01,-0.294165,0.011501775395112546,0.028381348381348426,-0.0982567353407291,-1.5868000000000002,0.559726402,-0.028788183191623018
2010-09-01,-0.35923299999999997,0.011183122472331775,0.029560330108138855,-0.10833333333333328,-1.4865999999999997,0.4477052110000001,0.04429832867139605
2010-10-01,-0.169155,0.011666951489314403,0.0319214241866177,0.04385964912280693,-1.4666000000000001,0.39350037199999993,0.019651167109030476
2010-11-01,-0.43731899999999996,0.01084544776600338,0.03168902130265305,0.017574692442882345,-1.6209,0.37196783400000005,0.031057154453524527
2010-12-01,0.190863,0.01437793022217937,0.038679634541703534,0.11775700934579425,-2.3234,0.3081416930000001,-0.0441330675678544
2011-01-01,-0.000709,0.017007834915029774,0.043362549235300474,0.050420168067226934,-2.2630999999999997,0.3379912100000001,-0.06521249250576133
