INDEX_NAME,INDEX_CODE,INDEX_DATE,CLOSE_INDEX_VALUE,NET_CHANGE,% CHANGE
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Apr-15,9135.219977,75.16807012,0.008296649
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Apr-15,9241.246079,106.0261022,0.0116063
S&P SmallCap 600 Pure Value (TR),600PVTR,7-Apr-15,9189.880958,-51.36512149,-0.005558246
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Apr-15,9183.780741,-6.100216585,-0.000663797
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Apr-15,9178.54784,-5.23290132,-0.000569798
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Apr-15,9194.788712,16.24087235,0.001769438
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Apr-15,9214.008835,19.22012314,0.002090328
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Apr-15,9262.453238,48.444403,0.00525769
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Apr-15,9401.228826,138.7755882,0.014982595
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Apr-15,9347.707131,-53.52169563,-0.005693053
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Apr-15,9187.922576,-159.7845547,-0.017093449
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Apr-15,9296.687495,108.764919,0.011837814
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Apr-15,9196.524145,-100.1633502,-0.01077409
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Apr-15,9204.962397,8.438251545,0.000917548
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Apr-15,9243.798457,38.83606029,0.004219035
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Apr-15,9232.934163,-10.86429417,-0.001175306
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Apr-15,9178.080909,-54.85325402,-0.005941042
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Apr-15,9283.314376,105.2334675,0.011465738
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Apr-15,9227.933946,-55.38043012,-0.005965588
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Apr-15,9144.133777,-83.80016895,-0.009081141
S&P SmallCap 600 Pure Value (TR),600PVTR,1-May-15,9220.786545,76.65276823,0.008382726
S&P SmallCap 600 Pure Value (TR),600PVTR,4-May-15,9253.164042,32.37749714,0.00351136
S&P SmallCap 600 Pure Value (TR),600PVTR,5-May-15,9206.536098,-46.62794439,-0.005039135
S&P SmallCap 600 Pure Value (TR),600PVTR,6-May-15,9208.665308,2.129210098,0.000231272
S&P SmallCap 600 Pure Value (TR),600PVTR,7-May-15,9210.433112,1.767803713,0.000191972
S&P SmallCap 600 Pure Value (TR),600PVTR,8-May-15,9265.405291,54.9721795,0.005968468
S&P SmallCap 600 Pure Value (TR),600PVTR,11-May-15,9255.722376,-9.682915787,-0.001045061
S&P SmallCap 600 Pure Value (TR),600PVTR,12-May-15,9226.05815,-29.66422599,-0.003204961
S&P SmallCap 600 Pure Value (TR),600PVTR,13-May-15,9224.021717,-2.036432512,-0.000220726
S&P SmallCap 600 Pure Value (TR),600PVTR,14-May-15,9303.823796,79.8020786,0.008651549
S&P SmallCap 600 Pure Value (TR),600PVTR,15-May-15,9274.449002,-29.37479346,-0.003157282
S&P SmallCap 600 Pure Value (TR),600PVTR,18-May-15,9344.905871,70.45686903,0.007596879
S&P SmallCap 600 Pure Value (TR),600PVTR,19-May-15,9270.688667,-74.21720447,-0.007941996
S&P SmallCap 600 Pure Value (TR),600PVTR,20-May-15,9309.697939,39.00927264,0.004207807
S&P SmallCap 600 Pure Value (TR),600PVTR,21-May-15,9318.493074,8.79513481,0.000944728
S&P SmallCap 600 Pure Value (TR),600PVTR,22-May-15,9248.696484,-69.79658979,-0.007490116
S&P SmallCap 600 Pure Value (TR),600PVTR,26-May-15,9102.382509,-146.3139756,-0.015819956
S&P SmallCap 600 Pure Value (TR),600PVTR,27-May-15,9183.257469,80.87496047,0.008885032
S&P SmallCap 600 Pure Value (TR),600PVTR,28-May-15,9159.304994,-23.95247488,-0.002608277
S&P SmallCap 600 Pure Value (TR),600PVTR,29-May-15,9094.183711,-65.12128332,-0.00710985
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Jun-15,9103.679969,9.496257505,0.001044212
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Jun-15,9185.549823,81.86985475,0.008993051
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Jun-15,9268.183901,82.63407769,0.008996095
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Jun-15,9151.216654,-116.967247,-0.012620298
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Jun-15,9242.259734,91.04308027,0.009948741
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Jun-15,9162.578588,-79.68114657,-0.008621392
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Jun-15,9145.978099,-16.60048836,-0.00181177
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Jun-15,9318.935243,172.9571437,0.018910732
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Jun-15,9289.314369,-29.62087419,-0.003178569
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Jun-15,9251.492772,-37.82159674,-0.004071517
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Jun-15,9183.32304,-68.1697324,-0.007368512
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Jun-15,9235.762964,52.43992379,0.005710343
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Jun-15,9206.040027,-29.72293675,-0.003218244
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Jun-15,9283.103004,77.06297754,0.008370915
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Jun-15,9294.996224,11.89322017,0.001281169
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Jun-15,9364.67984,69.68361514,0.007496895
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Jun-15,9424.826001,60.14616156,0.006422661
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Jun-15,9342.516425,-82.30957584,-0.008733273
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Jun-15,9350.126668,7.610242165,0.000814582
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Jun-15,9366.71121,16.58454239,0.001773724
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Jun-15,9125.523723,-241.187487,-0.025749431
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Jun-15,9105.050893,-20.47283032,-0.002243469
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Jul-15,9039.491675,-65.55921746,-0.007200313
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Jul-15,8971.417535,-68.07414051,-0.007530749
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Jul-15,8901.976157,-69.44137737,-0.00774029
S&P SmallCap 600 Pure Value (TR),600PVTR,7-Jul-15,8880.527649,-21.44850787,-0.00240941
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Jul-15,8717.3224,-163.2052494,-0.018377878
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Jul-15,8741.128153,23.80575277,0.002730856
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Jul-15,8846.983265,105.855112,0.012110006
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Jul-15,8932.293725,85.31046066,0.009642887
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Jul-15,9014.178825,81.88510006,0.009167309
S&P SmallCap 600 Pure Value (TR),600PVTR,15-Jul-15,8879.890353,-134.288472,-0.014897471
S&P SmallCap 600 Pure Value (TR),600PVTR,16-Jul-15,8907.059007,27.16865353,0.003059571
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Jul-15,8815.166979,-91.8920278,-0.010316764
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Jul-15,8711.657154,-103.509825,-0.011742242
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Jul-15,8702.14995,-9.507204564,-0.00109132
S&P SmallCap 600 Pure Value (TR),600PVTR,22-Jul-15,8669.233391,-32.91655824,-0.003782578
S&P SmallCap 600 Pure Value (TR),600PVTR,23-Jul-15,8552.619877,-116.6135141,-0.013451422
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Jul-15,8395.478429,-157.1414487,-0.018373487
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Jul-15,8300.580191,-94.89823793,-0.011303494
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Jul-15,8391.790324,91.21013314,0.010988405
S&P SmallCap 600 Pure Value (TR),600PVTR,29-Jul-15,8444.860143,53.06981912,0.006324016
S&P SmallCap 600 Pure Value (TR),600PVTR,30-Jul-15,8423.311807,-21.54833547,-0.002551651
S&P SmallCap 600 Pure Value (TR),600PVTR,31-Jul-15,8499.044445,75.73263752,0.008990839
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Aug-15,8432.283811,-66.76063439,-0.007855075
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Aug-15,8439.685299,7.401488503,0.000877756
S&P SmallCap 600 Pure Value (TR),600PVTR,5-Aug-15,8452.18252,12.49722116,0.001480769
S&P SmallCap 600 Pure Value (TR),600PVTR,6-Aug-15,8472.730194,20.54767362,0.002431049
S&P SmallCap 600 Pure Value (TR),600PVTR,7-Aug-15,8370.967208,-101.7629861,-0.012010649
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Aug-15,8565.795328,194.8281199,0.023274266
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Aug-15,8477.808125,-87.98720244,-0.010271924
S&P SmallCap 600 Pure Value (TR),600PVTR,12-Aug-15,8458.253851,-19.55427379,-0.002306525
S&P SmallCap 600 Pure Value (TR),600PVTR,13-Aug-15,8374.828597,-83.42525471,-0.009863177
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Aug-15,8439.00375,64.17515293,0.007662862
S&P SmallCap 600 Pure Value (TR),600PVTR,17-Aug-15,8469.522423,30.51867378,0.003616383
S&P SmallCap 600 Pure Value (TR),600PVTR,18-Aug-15,8434.201219,-35.32120403,-0.004170389
S&P SmallCap 600 Pure Value (TR),600PVTR,19-Aug-15,8324.884303,-109.3169161,-0.012961146
S&P SmallCap 600 Pure Value (TR),600PVTR,20-Aug-15,8154.164703,-170.7196001,-0.020507144
S&P SmallCap 600 Pure Value (TR),600PVTR,21-Aug-15,8046.249177,-107.9155265,-0.013234406
S&P SmallCap 600 Pure Value (TR),600PVTR,24-Aug-15,7743.490308,-302.758869,-0.037627329
S&P SmallCap 600 Pure Value (TR),600PVTR,25-Aug-15,7652.589021,-90.90128633,-0.011739059
S&P SmallCap 600 Pure Value (TR),600PVTR,26-Aug-15,7816.749483,164.1604616,0.021451624
S&P SmallCap 600 Pure Value (TR),600PVTR,27-Aug-15,7977.05575,160.3062667,0.020508047
S&P SmallCap 600 Pure Value (TR),600PVTR,28-Aug-15,8104.193589,127.1378396,0.01593794
S&P SmallCap 600 Pure Value (TR),600PVTR,31-Aug-15,8197.524515,93.33092537,0.011516374
S&P SmallCap 600 Pure Value (TR),600PVTR,1-Sep-15,7933.835429,-263.6890861,-0.032166916
S&P SmallCap 600 Pure Value (TR),600PVTR,2-Sep-15,8060.972313,127.136884,0.016024643
S&P SmallCap 600 Pure Value (TR),600PVTR,3-Sep-15,8070.021541,9.049228501,0.001122598
S&P SmallCap 600 Pure Value (TR),600PVTR,4-Sep-15,7992.389855,-77.63168628,-0.009619762
S&P SmallCap 600 Pure Value (TR),600PVTR,8-Sep-15,8106.98507,114.5952157,0.014338041
S&P SmallCap 600 Pure Value (TR),600PVTR,9-Sep-15,7999.934907,-107.0501638,-0.013204682
S&P SmallCap 600 Pure Value (TR),600PVTR,10-Sep-15,7983.37671,-16.55819695,-0.002069791
S&P SmallCap 600 Pure Value (TR),600PVTR,11-Sep-15,7948.128079,-35.24863081,-0.004415253
S&P SmallCap 600 Pure Value (TR),600PVTR,14-Sep-15,7896.692526,-51.43555337,-0.006471405
